com.samsung.health.floors_climbed,6212007,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-04-11 00:18:56.999,,2022-04-11 00:19:37.323,2022-04-11 00:19:37.323,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 00:19:08.999,b60a04a2-7797-4b93-a6fa-b509a29d7f2f,
2022-04-11 00:22:10.001,,2022-04-11 00:27:08.189,2022-04-11 00:27:08.189,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 00:22:18.001,d7881374-04a1-4155-9588-2cb1cdf63694,
2022-04-11 19:26:44.999,,2022-04-11 19:32:03.844,2022-04-11 19:32:03.844,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 19:27:01.999,1cd5bc0f-b1fb-47b1-8ba4-9e62e88202d5,
2022-04-11 21:18:08.000,,2022-04-11 21:22:02.037,2022-04-11 21:22:02.037,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 21:18:22.000,adba30a0-b8c9-41b1-84ca-366c754f76ba,
2022-04-12 16:22:56.001,,2022-04-12 16:23:10.230,2022-04-12 16:23:10.230,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-12 16:23:07.001,e6d3fb75-3295-4ef6-a30b-0c04287fdb09,
2022-04-11 20:48:11.000,,2022-04-11 20:49:24.758,2022-04-11 20:49:24.758,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 20:48:24.000,992df1de-5fd0-4075-8345-e3812507ee40,
2022-04-12 23:39:26.000,,2022-04-12 23:40:03.620,2022-04-12 23:40:03.620,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-12 23:39:34.000,11967b27-d0dd-4167-a835-c4b915fd4ff1,
2022-04-12 13:24:17.000,,2022-04-12 13:26:07.099,2022-04-12 13:24:48.960,2.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-12 13:24:53.001,b66d8f2b-4c99-4aa3-a142-67f4fcd12bd3,
2022-04-14 21:45:29.000,,2022-04-14 21:46:09.637,2022-04-14 21:45:42.390,2.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-14 21:45:55.000,8873fbbb-3644-433e-b7b5-9702453a3088,
2022-04-12 14:50:39.001,,2022-04-12 14:52:54.727,2022-04-12 14:52:54.727,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-12 14:50:56.001,be0db821-22e4-40c1-becf-eba2e5e0b7d5,
