com.samsung.health.food_info,6212007,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,0.0,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2022-04-10 22:09:14.114,2022-04-10 22:09:14.114,0.038,1.29,0.086,2.0,Banana,14.43,0.0,1.0,105.0,medium (7" to 7-7/8" long),,srrFtdx0wv,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,087c9cb4-dfca-4796-a1e9-607bd1e07896,1,
233.0,0.0,149.0,0.0,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2022-04-10 22:09:14.115,2022-04-10 22:09:14.115,0.065,1.02,0.236,4.0,Strawberries,7.08,0.0,2.0,49.0,"cup, halves",,srrFtdx0wv,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,114b3ba0-e7dd-42df-baab-bcd253c98cf1,1,
111.0,0.0,0.0,0.0,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2022-04-10 22:09:14.117,2022-04-10 22:09:14.117,0.028,0.28,0.002,0.0,Coffee,0.0,0.0,0.0,2.0,mug (8 fl oz),,srrFtdx0wv,g,0.005,,com.sec.android.app.shealth,0.09,88.5,cee52420-e3b1-46ab-9ce1-60a23f453105,1,
67.0,6.0,0.0,0.0,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2022-04-10 22:09:14.115,2022-04-10 22:09:14.115,2.754,6.24,1.214,5.0,Fried Egg,0.38,0.0,3.0,89.0,large,,srrFtdx0wv,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,bd0318fb-7bfc-4fc7-b38e-afbd22149944,1,
,0.0,0.0,0.0,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2022-04-10 22:09:14.119,2022-04-10 22:09:14.119,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,0.0,0.0,140.0,serving,,srrFtdx0wv,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,f2702ceb-d38f-4fcb-8f27-84f5eab0ff52,1,
170.0,17.0,20.0,0.0,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2022-04-10 22:09:14.114,2022-04-10 22:09:14.114,0.056,0.93,0.076,2.0,Watermelon,9.42,0.0,1.0,46.0,"cup, diced",,srrFtdx0wv,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,43407c68-2240-46c7-b4b6-c130de318831,1,
301.0,0.0,2.0,0.0,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2022-04-10 22:09:14.116,2022-04-10 22:09:14.116,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,0.0,1.0,130.0,"breast, bone and skin removed",,srrFtdx0wv,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,5e2af3d9-4a07-488d-93e3-85d6de5ab43e,1,
86.0,0.0,0.0,0.0,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2022-04-10 22:09:14.116,2022-04-10 22:09:14.116,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,0.0,0.0,50.0,coffee cup (6 fl oz),,srrFtdx0wv,g,1.295,,com.sec.android.app.shealth,9.14,3.7,091a2c18-2224-46b0-b891-e2c15a2e23d4,1,
0.0,0.0,0.0,0.0,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2022-04-10 22:09:14.118,2022-04-10 22:09:14.118,0.0,0.0,0.0,0.0,Water,0.0,0.0,0.0,0.0,cup (8 fl oz),,srrFtdx0wv,g,0.0,,com.sec.android.app.shealth,0.0,,392db79e-a804-4261-9cd0-f08693db5e09,1,
366.0,9.0,1.0,0.0,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2022-04-10 22:09:14.119,2022-04-10 22:09:14.119,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,0.0,28.0,122.0,cup,,srrFtdx0wv,g,3.067,,com.sec.android.app.shealth,11.42,2.0,10c222a6-04ab-4ce6-af53-957098ad3d1b,1,
