com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,2022-04-10 22:09:14.133,2022-04-10 22:09:14.133,-1,0,0,0.0,0.0,ef1ce6fa-07f0-4302-a341-afc38939bd3f.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,ef1ce6fa-07f0-4302-a341-afc38939bd3f,1647388800000,
0,0,90,0,2022-04-10 22:09:14.167,2022-04-10 22:09:14.167,-1,0,0,0.0,0.0,754e50c7-0ddb-45ea-a357-cc280fe86df8.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,754e50c7-0ddb-45ea-a357-cc280fe86df8,1647475200000,
0,0,90,0,2022-04-10 22:09:14.097,2022-04-10 22:09:14.097,-1,0,0,0.0,0.0,a0188cd4-b925-48b8-8304-9bb561b2ba3e.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,a0188cd4-b925-48b8-8304-9bb561b2ba3e,1647216000000,
0,0,90,0,2022-04-10 22:09:14.116,2022-04-10 22:09:14.116,-1,0,0,0.0,0.0,d30fc955-e6f9-478e-aaba-414a7a947972.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,d30fc955-e6f9-478e-aaba-414a7a947972,1647302400000,
0,0,90,0,2022-04-10 22:09:14.178,2022-04-10 22:09:14.178,-1,0,0,0.0,0.0,cdbf1f37-500a-4c53-9212-44f8657e9b34.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,cdbf1f37-500a-4c53-9212-44f8657e9b34,1647561600000,
1067,702451,90,0,2022-04-11 16:46:01.334,2022-04-10 22:09:14.085,-1,60000,12,812.68146,44.51942,e4667899-615d-4da5-8969-31b8caa351b0.extra_data.json,srrFtdx0wv,6800,com.sec.android.app.shealth,695651,66420000,e4667899-615d-4da5-8969-31b8caa351b0,1649548800000,
0,0,90,0,2022-04-10 22:09:14.238,2022-04-10 22:09:14.238,-1,0,0,0.0,0.0,b692cde0-3946-45d0-b2f7-9c4d5c41cc33.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,b692cde0-3946-45d0-b2f7-9c4d5c41cc33,1647907200000,
0,0,90,0,2022-04-10 22:09:14.224,2022-04-10 22:09:14.224,-1,0,0,0.0,0.0,f82e832f-0537-48b5-a132-4255315f24b0.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,f82e832f-0537-48b5-a132-4255315f24b0,1647820800000,
0,0,90,0,2022-04-10 22:09:14.212,2022-04-10 22:09:14.212,-1,0,0,0.0,0.0,564163aa-8980-4503-9658-b95e0da2a273.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,564163aa-8980-4503-9658-b95e0da2a273,1647734400000,
0,0,90,0,2022-04-10 22:09:14.252,2022-04-10 22:09:14.252,-1,0,0,0.0,0.0,c02dcfef-e2f8-40f5-bcf1-7d590370099e.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,c02dcfef-e2f8-40f5-bcf1-7d590370099e,1648080000000,
0,0,90,0,2022-04-10 22:09:14.246,2022-04-10 22:09:14.246,-1,0,0,0.0,0.0,ea8aeb0c-44dd-40ff-9455-ce9da298cc31.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,ea8aeb0c-44dd-40ff-9455-ce9da298cc31,1647993600000,
0,0,90,0,2022-04-10 22:09:14.308,2022-04-10 22:09:14.308,-1,0,0,0.0,0.0,02195372-95fe-4a56-b14a-36cbec0bc529.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,02195372-95fe-4a56-b14a-36cbec0bc529,1648425600000,
