com.samsung.shealth.food_frequent,6212007,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.99,2022-04-10 22:09:14.127,2022-04-10 22:09:14.127,0.99,0.99,0.99,srrFtdx0wv,com.sec.android.app.shealth,0.99,6b64a587-5b42-4e20-9680-e64d88611ae8,087c9cb4-dfca-4796-a1e9-607bd1e07896,0.99,
0.75,2022-04-10 22:09:14.128,2022-04-10 22:09:14.128,0.75,0.75,0.75,srrFtdx0wv,com.sec.android.app.shealth,0.75,0b179636-6369-4024-9140-05a53dbb6adc,cee52420-e3b1-46ab-9ce1-60a23f453105,0.75,
0.95,2022-04-10 22:09:14.128,2022-04-10 22:09:14.128,0.95,0.95,0.95,srrFtdx0wv,com.sec.android.app.shealth,0.95,d911d015-05ba-4625-baac-2fcc13f5349c,43407c68-2240-46c7-b4b6-c130de318831,0.95,
0.71,2022-04-10 22:09:14.128,2022-04-10 22:09:14.128,0.71,0.71,0.71,srrFtdx0wv,com.sec.android.app.shealth,0.71,15b9123d-47fa-423d-b0f0-02ae63c13ff1,392db79e-a804-4261-9cd0-f08693db5e09,0.71,
0.91,2022-04-10 22:09:14.128,2022-04-10 22:09:14.128,0.91,0.91,0.91,srrFtdx0wv,com.sec.android.app.shealth,0.91,5e274212-7689-4306-8f15-ec301fa84cc5,114b3ba0-e7dd-42df-baab-bcd253c98cf1,0.91,
0.67,2022-04-10 22:09:14.128,2022-04-10 22:09:14.128,0.67,0.67,0.67,srrFtdx0wv,com.sec.android.app.shealth,0.67,964d555e-e93c-4b30-a3de-b0a73889317a,f2702ceb-d38f-4fcb-8f27-84f5eab0ff52,0.67,
0.87,2022-04-10 22:09:14.128,2022-04-10 22:09:14.128,0.87,0.87,0.87,srrFtdx0wv,com.sec.android.app.shealth,0.87,89da291f-8f9d-41f9-a864-f1bbd420f15b,bd0318fb-7bfc-4fc7-b38e-afbd22149944,0.87,
0.83,2022-04-10 22:09:14.128,2022-04-10 22:09:14.128,0.83,0.83,0.83,srrFtdx0wv,com.sec.android.app.shealth,0.83,4e6e47a8-0c7c-4e80-a093-0b53c4089100,5e2af3d9-4a07-488d-93e3-85d6de5ab43e,0.83,
0.63,2022-04-10 22:09:14.128,2022-04-10 22:09:14.128,0.63,0.63,0.63,srrFtdx0wv,com.sec.android.app.shealth,0.63,35f685b4-27aa-4560-a707-33cd90196d98,10c222a6-04ab-4ce6-af53-957098ad3d1b,0.63,
0.79,2022-04-10 22:09:14.128,2022-04-10 22:09:14.128,0.79,0.79,0.79,srrFtdx0wv,com.sec.android.app.shealth,0.79,95b1efe0-8c5c-4c3d-8730-d8babc07e05e,091a2c18-2224-46b0-b891-e2c15a2e23d4,0.79,
