com.samsung.shealth.rewards,6212007,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2022-04-12 04:00:00.000,,100003,,2022-04-17 04:00:02.531,2022-04-13 01:27:25.384,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":10062}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-12 04:00:00.000,0a043ec7-fa89-41ad-bc41-5bcd8f5688f7,1,
,2022-04-14 04:00:00.000,,10009,,2022-04-15 04:00:07.667,2022-04-15 04:00:07.667,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":11411}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-14 04:00:00.000,63083cbf-edb2-42d0-902c-b3542855e1f6,1,
,2022-04-12 04:00:00.000,,10009,,2022-04-17 04:00:01.886,2022-04-13 04:00:13.488,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9773}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-12 04:00:00.000,ca9e2e14-0496-4c98-bfee-7aa8328fc420,1,
,2022-04-12 04:00:00.000,,100003,,2022-04-16 04:00:01.066,2022-04-16 04:00:01.066,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":10062}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-12 04:00:00.000,57d28a8c-551f-4486-9472-8c657a7e30c7,1,
,2022-04-12 04:00:00.000,,100003,,2022-04-13 05:06:51.256,2022-04-13 03:18:22.004,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":10062}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-12 04:00:00.000,9da60f0b-7c15-48bd-af04-2238ad65d32d,1,
,2022-04-14 04:00:00.000,,10299999,,2022-04-17 04:00:03.118,2022-04-15 04:00:08.284,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8582}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-14 04:00:00.000,22e27774-4104-4f33-ba7d-d08683d36e5a,1,
,2022-04-12 04:00:00.000,,100003,,2022-04-17 04:00:01.150,2022-04-17 04:00:01.150,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":10062}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-12 04:00:00.000,1ab74d99-421b-42f9-8a9c-2f18cbc18bb1,1,
,2022-04-16 04:00:00.000,,100003,,2022-04-17 04:44:24.901,2022-04-16 17:47:05.934,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":15877}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-16 04:00:00.000,d39d9382-4987-4575-b444-2a20eb63ca09,1,
,,,,,2022-04-17 08:22:42.042,2022-04-17 08:22:42.042,,,LAST_SLEEP_CHECKING_TIME,,,srrFtdx0wv,com.sec.android.app.shealth,Sleep.Goal.Temp,1970-01-01 00:00:00.000,bdf7c4b8-7b0f-498c-a7e3-eb66560d0d2a,-10000,
,2022-04-16 04:00:00.000,,10299999,,2022-04-17 04:00:03.119,2022-04-17 04:00:01.343,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":12499}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-16 04:00:00.000,ee017715-94a1-4f78-b46a-8b45dbce0432,1,
,2022-04-14 04:00:00.000,,10009,,2022-04-17 04:00:01.884,2022-04-15 04:00:07.663,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":11411}",srrFtdx0wv,com.sec.android.app.shealth,tracker.pedometer,2022-04-14 04:00:00.000,1496e37c-d936-44d6-9b42-9ef3aca8dfd0,1,
