com.samsung.shealth.stress,6212007,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2022-04-11 00:00:00.000,,903a4242-f973-4005-a42f-0504366957ea.binning_data.json,10011,2022-04-11 01:02:46.281,2022-04-11 01:02:46.281,69.0,0.0,4.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-11 00:59:59.999,903a4242-f973-4005-a42f-0504366957ea,
2022-04-11 01:00:00.000,,6e05d5b8-8f4b-4b7a-8bbd-21a0a03f57c2.binning_data.json,10011,2022-04-11 02:10:18.965,2022-04-11 02:10:18.965,86.0,0.0,6.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-11 01:59:59.999,6e05d5b8-8f4b-4b7a-8bbd-21a0a03f57c2,
2022-04-10 22:00:00.000,,c492cc44-7643-4a83-8099-6449d6d03bc9.binning_data.json,10011,2022-04-10 23:05:16.449,2022-04-10 22:08:01.972,80.0,0.0,6.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-10 22:59:59.999,c492cc44-7643-4a83-8099-6449d6d03bc9,
2022-04-10 23:00:00.000,,2e976694-0ade-420f-a626-af3d35961562.binning_data.json,10011,2022-04-11 00:08:04.563,2022-04-11 00:08:04.563,39.0,0.0,4.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-10 23:59:59.999,2e976694-0ade-420f-a626-af3d35961562,
2022-04-11 02:00:00.000,,8e3be087-a7c1-4bf2-9b41-f2ce8fb21eae.binning_data.json,10011,2022-04-11 03:02:56.315,2022-04-11 03:02:56.315,7.0,0.0,0.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-11 02:59:59.999,8e3be087-a7c1-4bf2-9b41-f2ce8fb21eae,
2022-04-11 03:00:00.000,,135925bd-0df7-4040-9fe8-1037111bd358.binning_data.json,10011,2022-04-11 04:03:30.271,2022-04-11 04:03:30.271,55.0,0.0,2.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-11 03:59:59.999,135925bd-0df7-4040-9fe8-1037111bd358,
2022-04-11 17:00:00.000,,0438ad4a-9289-428c-b935-234098b88e0f.binning_data.json,10011,2022-04-11 18:03:37.752,2022-04-11 17:04:16.273,47.0,0.0,1.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-11 17:59:59.999,0438ad4a-9289-428c-b935-234098b88e0f,
2022-04-11 15:00:00.000,,98ec1000-47a5-4258-bc50-de832ee52d71.binning_data.json,10011,2022-04-11 16:01:04.267,2022-04-11 16:01:04.267,84.0,0.0,17.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-11 15:59:59.999,98ec1000-47a5-4258-bc50-de832ee52d71,
2022-04-11 18:00:00.000,,7abd8e8d-668f-4ac8-a327-e1e611be71e7.binning_data.json,10011,2022-04-11 19:02:53.374,2022-04-11 18:03:39.146,11.0,0.0,0.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-11 18:59:59.999,7abd8e8d-668f-4ac8-a327-e1e611be71e7,
2022-04-11 20:00:00.000,,8b20f49b-9ad0-4824-b415-af10ad5227cf.binning_data.json,10011,2022-04-11 21:01:03.517,2022-04-11 20:45:52.009,77.0,0.0,3.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-11 20:59:59.999,8b20f49b-9ad0-4824-b415-af10ad5227cf,
