com.samsung.shealth.tracker.pedometer_day_summary,6212007,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
3255,5236f1bc-9718-41a5-85a1-7f1528375d6a.binning_data.json,1848803,6000,22,2022-04-12 04:00:00.572,com.sec.android.app.shealth,2022-04-12 04:00:00.572,,1.4059318,2599.2922,141.98352,3233,srrFtdx0wv,com.sec.android.app.shealth,0,5236f1bc-9718-41a5-85a1-7f1528375d6a.achievement.json,5236f1bc-9718-41a5-85a1-7f1528375d6a,1649635200000,
739,7d0c5dc9-8946-4642-b6f4-863fb7584039.binning_data.json,403090,6000,17,2022-04-12 04:00:00.771,com.sec.android.app.shealth,2022-04-11 04:00:01.042,,1.3418087,540.87,31.36,722,2ZwajQKcly,com.sec.android.app.shealth,0,7d0c5dc9-8946-4642-b6f4-863fb7584039.achievement.json,7d0c5dc9-8946-4642-b6f4-863fb7584039,1649548800000,
917,369ffabe-fe05-4bf0-a382-2c6897c06c99.binning_data.json,526497,6000,0,2022-04-11 04:00:00.933,com.sec.android.app.shealth,2022-04-11 04:00:00.933,,1.3493423,710.425,37.677963,917,srrFtdx0wv,com.sec.android.app.shealth,0,369ffabe-fe05-4bf0-a382-2c6897c06c99.achievement.json,369ffabe-fe05-4bf0-a382-2c6897c06c99,1649548800000,
1344,601e6814-9a9e-41c6-829b-134383652107.binning_data.json,712912,6000,11,2022-04-12 04:00:00.777,com.sec.android.app.shealth,2022-04-12 04:00:00.777,,1.3835071,986.31976,59.67002,1333,2ZwajQKcly,com.sec.android.app.shealth,0,601e6814-9a9e-41c6-829b-134383652107.achievement.json,601e6814-9a9e-41c6-829b-134383652107,1649635200000,
3233,23386715-c3ab-4362-8b32-daca6824d162.binning_data.json,1685529,6000,37,2022-04-14 04:00:00.655,com.sec.android.app.shealth,2022-04-14 04:00:00.655,,1.5111324,2547.0576,134.69281,3196,srrFtdx0wv,com.sec.android.app.shealth,0,23386715-c3ab-4362-8b32-daca6824d162.achievement.json,23386715-c3ab-4362-8b32-daca6824d162,1649808000000,
3516,c55ab52f-ddb5-40a0-aff8-1437683351b4.binning_data.json,1841385,6000,11,2022-04-14 04:00:00.991,com.sec.android.app.shealth,2022-04-13 04:00:13.901,,1.414006,2603.7295,147.11,3505,2ZwajQKcly,com.sec.android.app.shealth,0,c55ab52f-ddb5-40a0-aff8-1437683351b4.achievement.json,c55ab52f-ddb5-40a0-aff8-1437683351b4,1649721600000,
1067,e0bfe82e-5cc4-45e3-b9fe-15c8bee14f66.binning_data.json,597711,6000,17,2022-04-11 16:46:01.411,com.sec.android.app.shealth,2022-04-10 22:29:22.582,e0bfe82e-5cc4-45e3-b9fe-15c8bee14f66.source_info.json,1.3596547,812.6814,44.519417,1050,VfS0qUERdZ,com.sec.android.app.shealth,0,e0bfe82e-5cc4-45e3-b9fe-15c8bee14f66.achievement.json,e0bfe82e-5cc4-45e3-b9fe-15c8bee14f66,1649548800000,
3533,e8251a7a-7ab4-4230-8063-fb38dac7cc27.binning_data.json,1962995,6000,27,2022-04-12 03:27:58.922,com.sec.android.app.shealth,2022-04-11 04:26:14.321,e8251a7a-7ab4-4230-8063-fb38dac7cc27.source_info.json,1.4223515,2792.0693,155.4453,3506,VfS0qUERdZ,com.sec.android.app.shealth,0,e8251a7a-7ab4-4230-8063-fb38dac7cc27.achievement.json,e8251a7a-7ab4-4230-8063-fb38dac7cc27,1649635200000,
785,cc9969a7-8396-4ec6-82b7-76f6a9200bdf.binning_data.json,424583,6000,9,2022-04-14 04:00:01.003,com.sec.android.app.shealth,2022-04-14 04:00:01.003,,1.3534422,574.6499,32.609997,776,2ZwajQKcly,com.sec.android.app.shealth,0,cc9969a7-8396-4ec6-82b7-76f6a9200bdf.achievement.json,cc9969a7-8396-4ec6-82b7-76f6a9200bdf,1649808000000,
9773,c8f2f302-b0e7-4ad8-b5b9-f0a9f9d5509e.binning_data.json,5140149,6000,436,2022-04-13 04:00:13.537,com.sec.android.app.shealth,2022-04-13 04:00:13.537,,1.534038,7885.184,424.5785,9337,srrFtdx0wv,com.sec.android.app.shealth,0,c8f2f302-b0e7-4ad8-b5b9-f0a9f9d5509e.achievement.json,c8f2f302-b0e7-4ad8-b5b9-f0a9f9d5509e,1649721600000,
