com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
27157,4,0,45,2022-04-10 22:28:00.000,,,2022-04-10 22:29:22.486,2022-04-10 22:29:22.486,45,1.2745019,34.611942,1.8452767,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 22:29:00.000,8e0015e4-910e-4799-9dcb-cb1078cb9a95,
13723,4,0,27,2022-04-10 22:27:00.000,,,2022-04-10 22:27:46.801,2022-04-10 22:27:46.801,27,1.5097328,20.718142,1.108925,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 22:28:00.000,ae41e72e-aa78-4c9f-b7ca-d0496046a453,
24559,4,0,49,2022-04-10 22:32:00.000,,,2022-04-10 22:33:20.645,2022-04-10 22:32:39.747,49,1.5733321,38.64019,1.992516,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 22:33:00.000,0859b106-9ecd-41d2-a447-4ca4947ed287,
12945,4,0,23,2022-04-10 22:29:00.000,,,2022-04-10 22:29:51.147,2022-04-10 22:29:22.500,23,1.3595285,17.599766,0.94314575,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 22:30:00.000,73c6beba-8ebe-4e8b-a80c-701d83c5bdb3,
24508,4,0,49,2022-04-10 22:30:00.000,,,2022-04-10 22:30:45.811,2022-04-10 22:30:24.776,49,1.5849649,38.845245,1.9955306,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 22:31:00.000,331988df-db3a-4473-b46d-b1051d27fc0c,
12832,4,0,21,2022-04-10 22:45:00.000,,,2022-04-10 22:47:23.236,2022-04-10 22:47:23.236,21,1.2670374,16.259613,0.8577938,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 22:46:00.000,b68a619b-59aa-4fe8-9dc7-b5e4da6cbdf9,
15233,4,0,26,2022-04-10 23:53:00.000,,,2022-04-10 23:53:59.844,2022-04-10 23:53:59.193,26,1.3175561,20.071442,1.0620232,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 23:54:00.000,43773c17-574e-467e-8cc4-6b716753bdce,
31962,4,0,59,2022-04-10 22:33:00.000,,,2022-04-10 22:33:36.984,2022-04-10 22:33:20.654,59,1.4477404,46.27336,2.3980455,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 22:34:00.000,8d48ca59-336f-42cb-b298-03c8de51d606,
7997,4,0,18,2022-04-11 00:17:00.000,,,2022-04-11 00:17:59.411,2022-04-11 00:17:52.107,18,1.9802585,15.836761,0.7659664,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 00:18:00.000,eef10ee0-d20b-43b8-8357-46f6ddbfbada,
8622,4,0,16,2022-04-10 23:54:00.000,,,2022-04-10 23:54:25.232,2022-04-10 23:54:00.545,16,1.4777348,12.742218,0.6501484,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 23:55:00.000,b026f426-914a-42ff-8045-5e12e69573dd,
56984,4,0,97,2022-04-11 00:18:00.000,,,2022-04-11 00:18:59.769,2022-04-11 00:18:00.109,97,1.2885945,73.429504,4.0001297,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 00:19:00.000,9c70fb10-c10b-4f29-b1f3-9327ca3e04b5,
4458,4,0,10,2022-04-10 22:41:00.000,,,2022-04-10 22:41:45.467,2022-04-10 22:41:45.467,10,1.6666667,7.4300003,0.40999985,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-10 22:42:00.000,9d7f61fc-a4d9-45c2-97c5-788bafc3be1f,
24711,4,0,46,2022-04-11 00:19:00.000,,,2022-04-11 00:19:27.113,2022-04-11 00:19:00.088,46,1.4521729,35.8851,1.8745174,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 00:20:00.000,bf860944-e1a9-4a47-87c4-9c4dac2bff14,
36172,4,0,66,2022-04-10 22:43:00.000,,,2022-04-10 22:44:20.955,2022-04-10 22:44:20.955,66,1.3333334,48.23,2.58,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-10 22:44:00.000,b83a4080-35f8-443a-af69-e4a3e373c665,
7740,4,0,15,2022-04-10 23:08:00.000,,,2022-04-10 23:10:05.659,2022-04-10 23:10:05.659,15,1.4444444,11.18,0.58,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-10 23:09:00.000,db9fc4ab-3755-4fac-b430-01c2e6606902,
32372,4,0,60,2022-04-10 22:44:00.000,,,2022-04-10 22:46:11.811,2022-04-10 22:44:21.116,60,1.3567259,43.919987,2.3700004,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-10 22:45:00.000,6454960c-dc88-4863-9320-c8df05ae66ea,
3711,4,0,10,2022-04-10 23:10:00.000,,,2022-04-10 23:10:24.810,2022-04-10 23:10:24.810,10,2.2500002,8.35,0.47,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-10 23:11:00.000,f2f2d42a-a69d-41b4-b29b-8b68678c9948,
